nom,latitude,longitude,categorie,statut,description,avis,note
Cavapapa,48.83881258070237, 2.30053053973834,Resto,A faire,"A l'aire vraiment tres tres bien, cuisine francaise relativement modernisee","Ordre d'idee des prix: entree 12 euros, plat: 25 euros, dessert: 12 euros, a l'aire de valoir son prix",4.75
Le Louxor,48.88370618531633, 2.349899412251743,Bar,A faire,"Cinema (6 euros la place) et bar a l'etage avec super terrace (pas cher non plus)",,4.9
Gaston & Marlo,48.86984240206097, 2.3551649232773233,Resto,A faire,"Plats auvergnats, tels que truffade, aligot et saucisses","A l'aire ok mais sans plus, relativement cher, je suis mitige",3.6
Bonvivant,48.847917035974206, 2.352063071609805,Resto,A faire,"Resto francais avec entrecote, caille facon cordon bleu, cote de porc pannee, ... . Prix entre 21 et 34 euros lassiete. Portions ont l'aire genereuses mais resto a laire moyen dans lensemble",,3.85
Pâtisserie Viennoise,48.85103637889079, 2.341570444234068,Resto,A faire,"Sandwichs vraiment pas chers (entre 3.3 et 4.8 euros), patisseries de vienne et boissons tout abordable",,4.35
Oroyona,48.84398188302679, 2.3493315969047384,Resto,A faire,"Creperie pas cher (5.5 euros pour une crepe salee, une sucree et une boisson)",,4.4
Crêperie Genia,48.85166086532244, 2.3437581969052435,Resto,A faire,"Crepes et paninis vraiment pas cher, assez ghetto",,3.95
LES SALES VOLEURS - DUMAS,48.85404745175841, 2.3950378749780485,Friperie,A faire,"Les prix changent en fonction du jour de la semaine, apparammnt on y trouve des bons habits, pas cher",,4.5
Mangez et cassez-vous,48.85403112700176, 2.3950090412309386,Resto,A faire,"Burgers, frites et dessers, vraimnt vraimnt pas cher (3.6 le burger fait maison, 1.4 les frites, 1.5 le dessert, 1.5 la boisson)",4.85
Medina fusion,48.856703894965754, 2.4164906095872745,Resto,A faire,"Resto libanais, avc sanwichs a 3.8 euros a l'emporter, plats, desserts",,3.8
La Poutinerie,48.87244555250689, 2.3482268969064948,Resto,A faire,"Resto quebequois, avec poutine (autour de 14 euros), burgers (autour de 14 euros), the au sirop d'erable",,3.9
Le Pantalon,48.84589437077544, 2.3419788846554654,Bar,A faire,"3 euros la pinte en happy hour",,4.5
L'Entre 2,48.885708232829565, 2.380541191888396,Bar,A faire," 2,90€ la pinte + énorme terrasse & diffusion des matchs",,4.85
Rockstar Café,48.863552349929726, 2.37055581287321,Bar,A faire,"3,50€ la pinte, mini baby-foot & sons rock",,4
Red Factory,48.85387786043464, 2.3728368746670854,Bar,A faire,"bar dansant à 3,30€ la pinte",,4
Petit Palais,48.866358407443194, 2.314503766217066,Musee,A faire,"Musee de beaux-arts",,4.5
Coulée verte René-Dumont,48.84955361124269, 2.371443381560561,Endroit,A faire,"Sentier verdoyant aménagé le long d'un chemin de fer désaffecté",,4.6
Musée de la Libération de Paris - musée du Général Leclerc - musée Jean Moulin,48.834080706530216, 2.3319789429377504,Musee,A faire,"ne m'interesse pas plus que ca",,3.8
Canal Saint-Martin,48.871271814830706, 2.3675101673622763,Endroit,Fait,"Tres sympa",,4.2
Shakespeare and Company,48.85271142192174, 2.3471732122498135,Magasin,A faire,"Librairie tres ancienne, pas e droit de photos a linterrieur","On peut sasseoire a l'etage et lire des livres gratuitement",4.3
Musée d'Art Moderne de Paris,48.864476171278675, 2.2978100680698863,Musee,Fait,"Musee d'art moderne, grande collection de grands peintres","Vraiment super super musee",4.75
Place des Vosges,48.85574157434723, 2.365414576376468,Endroit,Fait,"Petite place tres hupee, avec beaucoup de galeries dart autour, petit parc, tres belles voitures",,4.3
Musée de l'Orangerie,48.86388718294728, 2.3225865662169256,Musee,A faire,"Petit musee avec des peintures de monet (entre autres)",,4.2
Bibliothèque nationale de France (BnF) | Richelieu : Musée et Salle ovale,48.867471418269055, 2.3384715061708885,Endroit,A faire,"Immense bibliotheque, tres jolie",,4.3
Musée de la Chasse et de la Nature,48.86155152911493, 2.358710008544477,Musee,A faire,"",,3.9
La cantine diderot,48.84712697604444, 2.3819518666933583,Resto,A faire,"Brasserie francaise, l'aire tres bien, plats autour de 10 euros, entrees autour de 3 euros, desserts autour de 3 euros",,4.75
Bouillon Racine,48.850281979656565, 2.342109644180669,Resto,A faire,"Bouillon typique, clairement plus cher que les classiques (Chartier, ...) mais moins bruillant et bonde et meilleur repas","Entrees autour de 12 euros, plats autour de 30 euros, desserts autour de 10 euros",4.2
Les sales voleurs République,48.8645406079999, 2.377334410397631,Friperie,A faire,"","",4.3
LES SALES VOLEURS - DUMAS,48.854145539599266, 2.3950148103969764,Friperie,A faire,,,4.3
Les sales voleurs,48.85193726788737, 2.4007419275942974,Friperie,A faire,,,4.3
Les sales voleurs Monge,48.84570852988727, 2.351861739232572,Friperie,A faire,,,4.3
La REcyclerie,48.898202223354275, 2.3442716894962894,Bar,Fait,"Bar sympa, tres grand, le long de vieux rails de train, standup le vendredi soir","Relativement cher vu l'endroit (porte de Clignancourt)",3.85
